task_id,when_ready,when_running,when_waiting_retrieval,when_retrieved,when_done,worker_committed,worker_slot,time_commit_start,time_commit_end,time_input_mgr,size_input_mgr,time_worker_start,time_worker_end,time_output_mgr,size_output_mgr,when_input_sent,when_output_received,cores_requested,gpus_requested,memory_requested(MB),disk_requested(MB),retrieved_status,done_status,done_code,category
1,1716494676.638772,1716498097.970045,1716498106.336697,1716498106.345784,1716498106.345848,worker-cb7c6c4c5130033fdb68942b826bc325,32,1716498097.969579,1716498097.97002,0.000441,4.291534423828125e-05,1716498097.970471,1716498106.329314,0.002694,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
2,1716494676.639752,1716497278.41891,1716497285.903977,1716497285.90759,1716497285.907668,worker-cb7c6c4c5130033fdb68942b826bc325,20,1716497278.418371,1716497278.418881,0.00051,4.291534423828125e-05,1716497278.41898,1716497285.903235,0.001358,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
3,1716494676.640705,1716498072.184624,1716498082.46579,1716498082.475833,1716498082.475886,worker-cb7c6c4c5130033fdb68942b826bc325,36,1716498072.183988,1716498072.184596,0.000608,4.291534423828125e-05,1716498072.184678,1716498082.462849,0.001263,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
4,1716494676.641662,1716498061.648583,1716498069.118128,1716498069.123328,1716498069.123406,worker-cb7c6c4c5130033fdb68942b826bc325,8,1716498061.648081,1716498061.648553,0.000472,4.291534423828125e-05,1716498061.648793,1716498069.117304,0.001641,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
5,1716494676.642546,1716497983.728185,1716497991.518776,1716497991.522578,1716497991.522642,worker-cb7c6c4c5130033fdb68942b826bc325,10,1716497983.727677,1716497983.728158,0.000481,4.291534423828125e-05,1716497983.728238,1716497991.510271,0.001308,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
6,1716494676.643711,1716498082.366815,1716498091.992204,1716498092.00191,1716498092.001959,worker-cb7c6c4c5130033fdb68942b826bc325,39,1716498082.366331,1716498082.366789,0.000458,4.291534423828125e-05,1716498082.366869,1716498091.988696,0.001775,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
7,1716494676.64481,1716494721.945511,1716494730.484362,1716494730.486493,1716494730.486838,worker-cb7c6c4c5130033fdb68942b826bc325,59,1716494721.945015,1716494721.945481,0.000466,4.291534423828125e-05,1716494721.945568,1716494730.482232,0.001268,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
8,1716494676.646068,1716494712.456919,1716494720.806961,1716494720.810627,1716494720.810704,worker-cb7c6c4c5130033fdb68942b826bc325,5,1716494712.456429,1716494712.456879,0.00045,4.291534423828125e-05,1716494712.456966,1716494720.806014,0.001398,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
9,1716494676.647079,1716494703.327844,1716494712.453077,1716494712.456069,1716494712.456157,worker-cb7c6c4c5130033fdb68942b826bc325,5,1716494703.327356,1716494703.327817,0.000461,4.291534423828125e-05,1716494703.327933,1716494712.452169,0.001311,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
10,1716494676.647988,1716498009.622994,1716498018.13563,1716498018.142519,1716498018.142625,worker-cb7c6c4c5130033fdb68942b826bc325,60,1716498009.62242,1716498009.622965,0.000545,4.291534423828125e-05,1716498009.623065,1716498018.134807,0.002966,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
11,1716494676.649147,1716494720.69076,1716494729.211073,1716494729.216282,1716494729.216391,worker-cb7c6c4c5130033fdb68942b826bc325,9,1716494720.690251,1716494720.690733,0.000482,4.291534423828125e-05,1716494720.690848,1716494729.210797,0.001628,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
